number,opened_at,closed_at,incident_state,time,time_min,reassignment_count,reopen_count,sys_mod_count,impact,impact_ord,urgency,urgency_ord,knowledge,know_ord
INC0000122,2016-02-29 09:27:00,2016-03-06 17:00:00,Closed,6 days 07:33:00,9093.0,1,0,4,2 - Medium,2,2 - Medium,2,True,1
INC0000123,2016-02-29 09:29:00,2016-03-07 15:00:00,Closed,7 days 05:31:00,10411.0,0,0,3,2 - Medium,2,2 - Medium,2,True,1
INC0000124,2016-02-29 09:30:00,2016-03-05 12:00:00,Closed,5 days 02:30:00,7350.0,0,0,3,2 - Medium,2,2 - Medium,2,True,1
INC0000125,2016-02-29 09:31:00,2016-03-06 09:00:00,Closed,5 days 23:29:00,8609.0,1,0,6,2 - Medium,2,2 - Medium,2,True,1
INC0000126,2016-02-29 09:31:00,2016-03-07 15:00:00,Closed,7 days 05:29:00,10409.0,0,0,3,2 - Medium,2,2 - Medium,2,True,1
INC0000128,2016-02-29 09:36:00,2016-03-24 18:50:00,Closed,24 days 09:14:00,35114.0,2,0,10,2 - Medium,2,2 - Medium,2,True,1
INC0000130,2016-02-29 09:41:00,2016-03-08 11:00:00,Closed,8 days 01:19:00,11599.0,1,0,5,2 - Medium,2,2 - Medium,2,True,1
INC0000131,2016-02-29 09:41:00,2016-03-08 10:00:00,Closed,8 days 00:19:00,11539.0,0,0,3,2 - Medium,2,2 - Medium,2,True,1
INC0000132,2016-02-29 09:42:00,2016-03-08 16:00:00,Closed,8 days 06:18:00,11898.0,2,0,5,2 - Medium,2,2 - Medium,2,True,1
INC0000134,2016-02-29 09:44:00,2016-03-08 09:00:00,Closed,7 days 23:16:00,11476.0,1,0,4,3 - Low,3,3 - Low,3,True,1
INC0000135,2016-02-29 09:45:00,2016-03-05 17:00:00,Closed,5 days 07:15:00,7635.0,0,0,7,2 - Medium,2,2 - Medium,2,True,1
INC0000137,2016-02-29 09:48:00,2016-03-05 12:00:00,Closed,5 days 02:12:00,7332.0,0,0,3,2 - Medium,2,2 - Medium,2,True,1
INC0000139,2016-02-29 09:50:00,2016-03-06 10:00:00,Closed,6 days 00:10:00,8650.0,1,0,6,2 - Medium,2,2 - Medium,2,True,1
INC0000140,2016-02-29 09:51:00,2016-03-08 12:00:00,Closed,8 days 02:09:00,11649.0,1,0,7,2 - Medium,2,2 - Medium,2,True,1
INC0000141,2016-02-29 09:52:00,2016-03-07 15:00:00,Closed,7 days 05:08:00,10388.0,0,0,4,2 - Medium,2,2 - Medium,2,True,1
INC0000146,2016-02-29 09:57:00,2016-03-07 15:00:00,Closed,7 days 05:03:00,10383.0,0,0,3,2 - Medium,2,2 - Medium,2,True,1
INC0000147,2016-02-29 10:00:00,2016-03-19 10:00:00,Closed,19 days 00:00:00,27360.0,1,0,9,2 - Medium,2,2 - Medium,2,True,1
INC0000148,2016-02-29 10:00:00,2016-03-07 16:00:00,Closed,7 days 06:00:00,10440.0,0,0,3,2 - Medium,2,2 - Medium,2,True,1
INC0000149,2016-02-29 10:01:00,2016-03-07 16:00:00,Closed,7 days 05:59:00,10439.0,0,0,3,2 - Medium,2,2 - Medium,2,True,1
INC0000152,2016-02-29 10:08:00,2016-03-08 10:00:00,Closed,7 days 23:52:00,11512.0,0,0,4,2 - Medium,2,2 - Medium,2,True,1
INC0000153,2016-02-29 10:10:00,2016-03-07 15:00:00,Closed,7 days 04:50:00,10370.0,0,0,3,2 - Medium,2,2 - Medium,2,True,1
INC0000155,2016-02-29 10:12:00,2016-03-07 16:00:00,Closed,7 days 05:48:00,10428.0,0,0,3,2 - Medium,2,2 - Medium,2,True,1
INC0000156,2016-02-29 10:14:00,2016-03-07 16:00:00,Closed,7 days 05:46:00,10426.0,0,0,3,2 - Medium,2,2 - Medium,2,True,1
INC0000158,2016-02-29 10:17:00,2016-03-07 16:00:00,Closed,7 days 05:43:00,10423.0,0,0,2,2 - Medium,2,2 - Medium,2,True,1
INC0000159,2016-02-29 10:17:00,2016-03-07 11:00:00,Closed,7 days 00:43:00,10123.0,1,0,6,2 - Medium,2,2 - Medium,2,True,1
INC0000160,2016-02-29 10:18:00,2016-03-05 11:00:00,Closed,5 days 00:42:00,7242.0,0,0,1,2 - Medium,2,2 - Medium,2,True,1
INC0000161,2016-02-29 10:18:00,2016-03-24 18:40:00,Closed,24 days 08:22:00,35062.0,2,0,11,3 - Low,3,3 - Low,3,True,1
INC0000164,2016-02-29 10:18:00,2016-03-08 15:00:00,Closed,8 days 04:42:00,11802.0,2,0,6,2 - Medium,2,2 - Medium,2,True,1
INC0000166,2016-02-29 10:24:00,2016-03-05 17:00:00,Closed,5 days 06:36:00,7596.0,0,0,3,2 - Medium,2,2 - Medium,2,True,1
INC0000167,2016-02-29 10:27:00,2016-03-05 12:00:00,Closed,5 days 01:33:00,7293.0,0,0,3,2 - Medium,2,2 - Medium,2,True,1
INC0000168,2016-02-29 10:27:00,2016-03-06 10:00:00,Closed,5 days 23:33:00,8613.0,0,0,2,2 - Medium,2,2 - Medium,2,True,1
INC0000169,2016-02-29 10:30:00,2016-03-07 16:00:00,Closed,7 days 05:30:00,10410.0,0,0,2,2 - Medium,2,2 - Medium,2,True,1
INC0000172,2016-02-29 10:36:00,2016-03-05 19:00:00,Closed,5 days 08:24:00,7704.0,1,0,9,2 - Medium,2,2 - Medium,2,True,1
INC0000174,2016-02-29 10:39:00,2016-03-02 13:02:00,Closed,2 days 02:23:00,3023.0,1,0,9,2 - Medium,2,2 - Medium,2,True,1
INC0000176,2016-02-29 10:40:00,2016-03-07 16:00:00,Closed,7 days 05:20:00,10400.0,0,0,2,2 - Medium,2,2 - Medium,2,True,1
INC0000178,2016-02-29 10:45:00,2016-03-05 12:00:00,Closed,5 days 01:15:00,7275.0,0,0,3,2 - Medium,2,2 - Medium,2,True,1
INC0000179,2016-02-29 10:46:00,2016-03-07 10:00:00,Closed,6 days 23:14:00,10034.0,0,0,2,2 - Medium,2,2 - Medium,2,True,1
INC0000192,2016-02-29 10:58:00,2016-03-05 12:00:00,Closed,5 days 01:02:00,7262.0,0,0,2,2 - Medium,2,2 - Medium,2,True,1
INC0000193,2016-02-29 10:59:00,2016-03-06 17:00:00,Closed,6 days 06:01:00,9001.0,1,0,5,2 - Medium,2,2 - Medium,2,True,1
INC0000194,2016-02-29 10:59:00,2016-03-05 12:00:00,Closed,5 days 01:01:00,7261.0,0,0,2,2 - Medium,2,2 - Medium,2,True,1
INC0000195,2016-02-29 11:00:00,2016-03-07 16:00:00,Closed,7 days 05:00:00,10380.0,0,0,3,2 - Medium,2,2 - Medium,2,True,1
INC0000199,2016-02-29 11:06:00,2016-03-05 12:00:00,Closed,5 days 00:54:00,7254.0,0,0,1,3 - Low,3,3 - Low,3,True,1
INC0000204,2016-02-29 11:13:00,2016-03-05 17:00:00,Closed,5 days 05:47:00,7547.0,0,0,3,3 - Low,3,3 - Low,3,True,1
INC0000207,2016-02-29 11:19:00,2016-03-05 21:00:00,Closed,5 days 09:41:00,7781.0,0,0,4,2 - Medium,2,2 - Medium,2,True,1
INC0000211,2016-02-29 11:23:00,2016-03-08 07:00:00,Closed,7 days 19:37:00,11257.0,0,0,6,2 - Medium,2,2 - Medium,2,True,1
INC0000213,2016-02-29 11:25:00,2016-03-05 13:00:00,Closed,5 days 01:35:00,7295.0,0,0,3,2 - Medium,2,2 - Medium,2,True,1
INC0000217,2016-02-29 11:48:00,2016-03-24 18:40:00,Closed,24 days 06:52:00,34972.0,2,0,8,2 - Medium,2,2 - Medium,2,True,1
INC0000218,2016-02-29 11:53:00,2016-03-05 14:00:00,Closed,5 days 02:07:00,7327.0,1,0,7,2 - Medium,2,2 - Medium,2,True,1
INC0000220,2016-02-29 11:56:00,2016-03-17 16:27:00,Closed,17 days 04:31:00,24751.0,1,0,8,2 - Medium,2,2 - Medium,2,True,1
INC0000221,2016-02-29 11:58:00,2016-03-07 15:00:00,Closed,7 days 03:02:00,10262.0,1,0,4,2 - Medium,2,2 - Medium,2,True,1
INC0000223,2016-02-29 12:01:00,2016-03-08 09:00:00,Closed,7 days 20:59:00,11339.0,1,0,10,2 - Medium,2,2 - Medium,2,True,1
INC0000228,2016-02-29 12:11:00,2016-03-05 17:00:00,Closed,5 days 04:49:00,7489.0,0,0,3,2 - Medium,2,2 - Medium,2,True,1
INC0000230,2016-02-29 12:14:00,2016-03-24 18:40:00,Closed,24 days 06:26:00,34946.0,1,0,10,2 - Medium,2,2 - Medium,2,True,1
INC0000232,2016-02-29 12:20:00,2016-03-24 18:50:00,Closed,24 days 06:30:00,34950.0,1,0,13,3 - Low,3,3 - Low,3,True,1
INC0000236,2016-02-29 12:26:00,2016-03-05 14:00:00,Closed,5 days 01:34:00,7294.0,0,0,3,2 - Medium,2,2 - Medium,2,True,1
INC0000237,2016-02-29 12:27:00,2016-03-06 15:00:00,Closed,6 days 02:33:00,8793.0,0,0,3,2 - Medium,2,2 - Medium,2,True,1
INC0000246,2016-02-29 12:41:00,2016-03-09 12:00:00,Closed,8 days 23:19:00,12919.0,1,0,9,2 - Medium,2,2 - Medium,2,True,1
INC0000253,2016-02-29 12:43:00,2016-03-07 10:00:00,Closed,6 days 21:17:00,9917.0,1,0,6,2 - Medium,2,2 - Medium,2,True,1
INC0000257,2016-02-29 12:48:00,2016-03-05 23:00:00,Closed,5 days 10:12:00,7812.0,0,0,3,2 - Medium,2,2 - Medium,2,True,1
INC0000259,2016-02-29 12:50:00,2016-03-07 11:00:00,Closed,6 days 22:10:00,9970.0,1,0,9,2 - Medium,2,2 - Medium,2,True,1
INC0000260,2016-02-29 12:52:00,2016-03-08 16:00:00,Closed,8 days 03:08:00,11708.0,0,0,3,2 - Medium,2,2 - Medium,2,True,1
INC0000261,2016-02-29 12:54:00,2016-02-29 17:47:00,Closed,0 days 04:53:00,293.0,0,0,7,1 - High,1,1 - High,1,True,1
INC0000262,2016-02-29 12:59:00,2016-03-07 10:00:00,Closed,6 days 21:01:00,9901.0,1,0,7,2 - Medium,2,2 - Medium,2,True,1
INC0000266,2016-02-29 13:18:00,2016-03-09 17:00:00,Closed,9 days 03:42:00,13182.0,1,0,11,2 - Medium,2,2 - Medium,2,True,1
INC0000268,2016-02-29 13:24:00,2016-03-24 18:40:00,Closed,24 days 05:16:00,34876.0,1,0,17,2 - Medium,2,2 - Medium,2,True,1
INC0000269,2016-02-29 13:30:00,2016-03-05 14:00:00,Closed,5 days 00:30:00,7230.0,0,0,1,2 - Medium,2,2 - Medium,2,True,1
INC0000273,2016-02-29 13:36:00,2016-03-09 15:00:00,Closed,9 days 01:24:00,13044.0,1,0,5,2 - Medium,2,2 - Medium,2,True,1
INC0000278,2016-02-29 13:48:00,2016-03-05 15:00:00,Closed,5 days 01:12:00,7272.0,0,0,5,2 - Medium,2,2 - Medium,2,True,1
INC0000279,2016-02-29 13:50:00,2016-03-07 02:00:00,Closed,6 days 12:10:00,9370.0,0,0,3,2 - Medium,2,2 - Medium,2,True,1
INC0000282,2016-02-29 13:52:00,2016-03-08 13:00:00,Closed,7 days 23:08:00,11468.0,0,0,3,2 - Medium,2,2 - Medium,2,True,1
INC0000283,2016-02-29 13:54:00,2016-03-06 10:00:00,Closed,5 days 20:06:00,8406.0,1,0,10,2 - Medium,2,2 - Medium,2,True,1
INC0000284,2016-02-29 13:55:00,2016-03-07 12:00:00,Closed,6 days 22:05:00,9965.0,0,0,5,2 - Medium,2,2 - Medium,2,True,1
INC0000285,2016-02-29 13:56:00,2016-03-07 01:00:00,Closed,6 days 11:04:00,9304.0,0,0,5,2 - Medium,2,2 - Medium,2,True,1
INC0000286,2016-02-29 13:56:00,2016-03-08 17:00:00,Closed,8 days 03:04:00,11704.0,1,0,6,2 - Medium,2,2 - Medium,2,True,1
INC0000290,2016-02-29 13:59:00,2016-03-05 15:00:00,Closed,5 days 01:01:00,7261.0,0,0,1,2 - Medium,2,2 - Medium,2,True,1
INC0000295,2016-02-29 14:09:00,2016-03-09 10:00:00,Closed,8 days 19:51:00,12711.0,0,0,4,2 - Medium,2,2 - Medium,2,True,1
INC0000297,2016-02-29 14:15:00,2016-03-09 10:00:00,Closed,8 days 19:45:00,12705.0,0,0,5,2 - Medium,2,2 - Medium,2,True,1
INC0000301,2016-02-29 14:22:00,2016-03-06 12:00:00,Closed,5 days 21:38:00,8498.0,1,0,6,2 - Medium,2,2 - Medium,2,True,1
INC0000303,2016-02-29 14:23:00,2016-03-24 18:50:00,Closed,24 days 04:27:00,34827.0,0,0,10,3 - Low,3,3 - Low,3,True,1
INC0000304,2016-02-29 14:25:00,2016-03-08 16:00:00,Closed,8 days 01:35:00,11615.0,0,0,5,2 - Medium,2,2 - Medium,2,True,1
INC0000305,2016-02-29 14:28:00,2016-03-09 15:00:00,Closed,9 days 00:32:00,12992.0,1,0,10,2 - Medium,2,2 - Medium,2,True,1
INC0000306,2016-02-29 14:28:00,2016-03-07 17:00:00,Closed,7 days 02:32:00,10232.0,0,0,3,2 - Medium,2,2 - Medium,2,True,1
INC0000310,2016-02-29 14:33:00,2016-03-06 14:00:00,Closed,5 days 23:27:00,8607.0,0,0,4,3 - Low,3,3 - Low,3,True,1
INC0000315,2016-02-29 14:37:00,2016-03-24 18:40:00,Closed,24 days 04:03:00,34803.0,1,0,6,2 - Medium,2,2 - Medium,2,True,1
INC0000319,2016-02-29 14:44:00,2016-03-07 16:00:00,Closed,7 days 01:16:00,10156.0,1,0,4,2 - Medium,2,2 - Medium,2,True,1
INC0000323,2016-02-29 14:45:00,2016-03-05 15:00:00,Closed,5 days 00:15:00,7215.0,0,0,1,2 - Medium,2,2 - Medium,2,True,1
INC0000325,2016-02-29 14:49:00,2016-03-24 18:59:00,Closed,24 days 04:10:00,34810.0,0,0,11,3 - Low,3,3 - Low,3,True,1
INC0000330,2016-02-29 14:52:00,2016-03-24 18:59:00,Closed,24 days 04:07:00,34807.0,0,0,11,3 - Low,3,3 - Low,3,True,1
INC0000336,2016-02-29 15:03:00,2016-03-24 18:50:00,Closed,24 days 03:47:00,34787.0,0,0,7,3 - Low,3,3 - Low,3,True,1
INC0000339,2016-02-29 15:12:00,2016-03-05 17:00:00,Closed,5 days 01:48:00,7308.0,0,0,2,2 - Medium,2,2 - Medium,2,True,1
INC0000345,2016-02-29 15:17:00,2016-03-06 17:00:00,Closed,6 days 01:43:00,8743.0,2,0,8,2 - Medium,2,2 - Medium,2,True,1
INC0000347,2016-02-29 15:21:00,2016-03-08 10:00:00,Closed,7 days 18:39:00,11199.0,0,0,4,2 - Medium,2,2 - Medium,2,True,1
INC0000352,2016-02-29 15:27:00,2016-03-05 17:00:00,Closed,5 days 01:33:00,7293.0,0,0,1,2 - Medium,2,2 - Medium,2,True,1
INC0000353,2016-02-29 15:27:00,2016-03-05 16:00:00,Closed,5 days 00:33:00,7233.0,0,0,1,2 - Medium,2,2 - Medium,2,True,1
INC0000355,2016-02-29 15:30:00,2016-03-08 12:00:00,Closed,7 days 20:30:00,11310.0,0,0,4,2 - Medium,2,2 - Medium,2,True,1
INC0000357,2016-02-29 15:34:00,2016-03-07 17:00:00,Closed,7 days 01:26:00,10166.0,0,0,5,2 - Medium,2,2 - Medium,2,True,1
INC0000358,2016-02-29 15:36:00,2016-03-09 16:27:00,Closed,9 days 00:51:00,13011.0,0,0,3,3 - Low,3,2 - Medium,2,True,1
INC0000361,2016-02-29 15:38:00,2016-03-24 18:40:00,Closed,24 days 03:02:00,34742.0,1,0,8,2 - Medium,2,2 - Medium,2,True,1
INC0000369,2016-02-29 15:48:00,2016-03-06 10:00:00,Closed,5 days 18:12:00,8292.0,0,0,2,2 - Medium,2,2 - Medium,2,True,1
INC0000370,2016-02-29 15:53:00,2016-03-06 09:00:00,Closed,5 days 17:07:00,8227.0,0,0,5,1 - High,1,1 - High,1,True,1
INC0000372,2016-02-29 15:54:00,2016-03-09 08:00:00,Closed,8 days 16:06:00,12486.0,0,0,4,2 - Medium,2,2 - Medium,2,True,1
INC0000373,2016-02-29 15:55:00,2016-03-24 18:50:00,Closed,24 days 02:55:00,34735.0,0,0,8,3 - Low,3,3 - Low,3,True,1
INC0000374,2016-02-29 15:59:00,2016-03-05 17:00:00,Closed,5 days 01:01:00,7261.0,0,0,3,2 - Medium,2,2 - Medium,2,True,1
INC0000376,2016-02-29 16:15:00,2016-03-24 18:40:00,Closed,24 days 02:25:00,34705.0,1,0,5,2 - Medium,2,2 - Medium,2,True,1
INC0000377,2016-02-29 16:18:00,2016-03-05 17:00:00,Closed,5 days 00:42:00,7242.0,0,0,3,3 - Low,3,2 - Medium,2,True,1
INC0000384,2016-02-29 16:30:00,2016-03-08 10:00:00,Closed,7 days 17:30:00,11130.0,0,0,4,2 - Medium,2,2 - Medium,2,True,1
INC0000387,2016-02-29 16:38:00,2016-03-24 18:40:00,Closed,24 days 02:02:00,34682.0,0,0,9,2 - Medium,2,2 - Medium,2,True,1
INC0000392,2016-02-29 16:51:00,2016-03-07 12:00:00,Closed,6 days 19:09:00,9789.0,0,0,5,2 - Medium,2,2 - Medium,2,True,1
INC0000393,2016-02-29 16:54:00,2016-03-06 10:00:00,Closed,5 days 17:06:00,8226.0,1,0,3,2 - Medium,2,2 - Medium,2,True,1
INC0000395,2016-02-29 17:06:00,2016-03-07 18:00:00,Closed,7 days 00:54:00,10134.0,2,0,11,2 - Medium,2,2 - Medium,2,True,1
INC0000398,2016-02-29 17:14:00,2016-03-06 10:00:00,Closed,5 days 16:46:00,8206.0,0,0,2,2 - Medium,2,2 - Medium,2,True,1
INC0000399,2016-02-29 17:27:00,2016-03-05 18:00:00,Closed,5 days 00:33:00,7233.0,0,0,1,2 - Medium,2,2 - Medium,2,True,1
INC0000400,2016-02-29 17:32:00,2016-03-24 18:59:00,Closed,24 days 01:27:00,34647.0,1,0,14,2 - Medium,2,2 - Medium,2,True,1
INC0000401,2016-02-29 17:38:00,2016-03-06 17:00:00,Closed,5 days 23:22:00,8602.0,0,0,6,2 - Medium,2,2 - Medium,2,True,1
INC0000405,2016-02-29 17:53:00,2016-03-08 10:00:00,Closed,7 days 16:07:00,11047.0,0,0,3,2 - Medium,2,2 - Medium,2,True,1
INC0000418,2016-02-29 18:35:00,2016-03-24 18:59:00,Closed,24 days 00:24:00,34584.0,0,0,13,2 - Medium,2,2 - Medium,2,True,1
INC0000425,2016-02-29 19:41:00,2016-03-07 23:00:00,Closed,7 days 03:19:00,10279.0,0,0,2,2 - Medium,2,2 - Medium,2,True,1
INC0000434,2016-02-29 21:00:00,2016-03-05 22:00:00,Closed,5 days 01:00:00,7260.0,0,0,3,2 - Medium,2,2 - Medium,2,True,1
INC0000439,2016-02-29 21:44:00,2016-03-08 10:00:00,Closed,7 days 12:16:00,10816.0,0,0,5,2 - Medium,2,2 - Medium,2,True,1
INC0000455,2016-02-29 23:36:00,2016-03-06 00:00:00,Closed,5 days 00:24:00,7224.0,0,0,3,2 - Medium,2,2 - Medium,2,True,1
INC0000468,2016-03-01 01:36:00,2016-03-06 10:00:00,Closed,5 days 08:24:00,7704.0,0,0,5,2 - Medium,2,2 - Medium,2,True,1
INC0000469,2016-03-01 01:42:00,2016-03-07 11:00:00,Closed,6 days 09:18:00,9198.0,0,0,3,2 - Medium,2,2 - Medium,2,True,1
INC0000477,2016-03-01 02:30:00,2016-03-07 10:00:00,Closed,6 days 07:30:00,9090.0,1,0,8,2 - Medium,2,2 - Medium,2,True,1
INC0000480,2016-03-01 02:56:00,2016-03-06 10:00:00,Closed,5 days 07:04:00,7624.0,1,0,12,2 - Medium,2,2 - Medium,2,True,1
INC0000486,2016-03-01 03:57:00,2016-03-06 05:00:00,Closed,5 days 01:03:00,7263.0,0,0,5,2 - Medium,2,2 - Medium,2,True,1
INC0000491,2016-03-01 05:04:00,2016-03-06 06:00:00,Closed,5 days 00:56:00,7256.0,0,0,3,2 - Medium,2,2 - Medium,2,True,1
INC0000494,2016-03-01 07:09:00,2016-03-08 11:00:00,Closed,7 days 03:51:00,10311.0,1,0,7,2 - Medium,2,2 - Medium,2,True,1
INC0000497,2016-03-01 07:42:00,2016-03-09 18:00:00,Closed,8 days 10:18:00,12138.0,1,0,9,2 - Medium,2,2 - Medium,2,True,1
INC0000499,2016-03-01 07:55:00,2016-03-06 10:00:00,Closed,5 days 02:05:00,7325.0,0,0,7,2 - Medium,2,2 - Medium,2,True,1
INC0000500,2016-03-01 07:56:00,2016-03-07 10:00:00,Closed,6 days 02:04:00,8764.0,0,0,5,1 - High,1,2 - Medium,2,True,1
INC0000503,2016-03-01 08:00:00,2016-03-07 18:00:00,Closed,6 days 10:00:00,9240.0,2,0,5,2 - Medium,2,2 - Medium,2,True,1
INC0000504,2016-03-01 08:02:00,2016-03-07 17:00:00,Closed,6 days 08:58:00,9178.0,2,0,6,2 - Medium,2,2 - Medium,2,True,1
INC0000505,2016-03-01 08:10:00,2016-03-08 11:00:00,Closed,7 days 02:50:00,10250.0,1,0,6,2 - Medium,2,2 - Medium,2,True,1
INC0000508,2016-03-01 08:18:00,2016-03-24 18:59:00,Closed,23 days 10:41:00,33761.0,0,0,13,1 - High,1,2 - Medium,2,True,1
INC0000509,2016-03-01 08:21:00,2016-03-08 18:00:00,Closed,7 days 09:39:00,10659.0,1,0,6,2 - Medium,2,2 - Medium,2,True,1
